coll_id,acronym,institution_code,tcn_provider_to,state,in_tx_ok,symbiota_url,dwca_url,dwca_url_active,first_generation_dwca_tbd,lived_managed,dwca_live_url,dwca_live_url_active,ipt_url,notes,jbest_notes,gbif,idigbio,,
309,NLU,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=309,https://sernecportal.org/portal/content/dwca/BRIT-NLU_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=309,TRUE,,,,,,,
504,NOSU,,,OK,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=504,https://portal.torcherbaria.org/portal/content/dwca/NOSU-NOSU_DwC-A.zip ,TRUE,TRUE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=504,TRUE,,,,,,,
352,NPS-AMIS,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=352,https://portal.torcherbaria.org/portal/content/dwca/NPS-AMIS_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=352,TRUE,,One sample record as placeholder,Jbest doesn’t see the option to edit collection metadata and set up DwC,,,,
483,NTSC,,BRIT,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=483,https://portal.torcherbaria.org/portal/content/dwca/NTSC_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=483,TRUE,,,,FALSE,FALSE,,
,NWOSU,,,,TRUE,,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,,
40,NY,,,NY,FALSE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=40,,FALSE,FALSE,FALSE,,FALSE,https://sweetgum.nybg.org:8443/ipt/archive.do?r=nybg-vascular,,,,,,
585,OCLA,,,OK,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=585,https://portal.torcherbaria.org/portal/content/dwca/OCLA_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=585,TRUE,,Not set up for DwCA publishing.,Jbest doesn’t see the option to edit collection metadata and set up DwC,FALSE,FALSE,,
524,OCU,,,OK,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=524,https://portal.torcherbaria.org/portal/content/dwca/OCU_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=524,TRUE,,Not set up for DwCA publishing.,,FALSE,FALSE,,
473,OKL,,,OK,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=473,https://portal.torcherbaria.org/portal/content/dwca/OKL_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=473,TRUE,,,,,,,
459,OKLA,,,OK,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=459,https://portal.torcherbaria.org/portal/content/dwca/OKLA_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=459,TRUE,,,,,,,
456,PAUH,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=456,https://portal.torcherbaria.org/portal/content/dwca/PAUH_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=456,TRUE,,,,,,,
,RUNYON,,,,TRUE,,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,,
474,SAT,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=474,https://portal.torcherbaria.org/portal/content/dwca/SAT_DwC-A.zip,TRUE,FALSE,FALSE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=474,TRUE,,Not set up for DwCA publishing.,,FALSE,FALSE,,
493,SEU,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=493,https://portal.torcherbaria.org/portal/content/dwca/SEU_DwC-A.zip,TRUE,FALSE,FALSE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=493,TRUE,,Not set up for DwCA publishing.,,FALSE,FALSE,,
,SHST,,,TX,TRUE,,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,,
223,SRSC,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=223,https://portal.torcherbaria.org/portal/content/dwca/SRSC_DwC-A.zip ,TRUE,,FALSE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=223,TRUE,,,,,,,
,SWT,,,,TRUE,,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,,
158,TAC,,BRIT,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=158,https://portal.torcherbaria.org/portal/content/dwca/TAC_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=158,TRUE,,,,,,,
475,TAES,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=475,https://portal.torcherbaria.org/portal/content/dwca/TAES_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=475,TRUE,,,,TRUE,FALSE,,
,TAIC,,,,TRUE,,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,,
533,TAMUCC,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=533,https://portal.torcherbaria.org/portal/content/dwca/TAMUCC_DwC-A.zip ,TRUE,FALSE,FALSE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=533,TRUE,,Not set up for DwCA publishing.,,FALSE,FALSE,,
537,TCSW,,BRIT,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=537,https://portal.torcherbaria.org/portal/content/dwca/TCSW_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=537,TRUE,,,,FALSE,FALSE,,
366,TEX,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=366,,FALSE,,FALSE,,FALSE,https://ipt.tacc.utexas.edu/archive.do?r=prc-torch,,,,,,
422,TLU,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=422,https://portal.torcherbaria.org/portal/content/dwca/TLU-TLU_DwC-A.zip,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=422,TRUE,,,,,,,
387,TTC,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=387,https://portal.torcherbaria.org/portal/content/dwca/TTC_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=387,TRUE,,,,,,,
586,TULS,,,OK,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=586,https://portal.torcherbaria.org/portal/content/dwca/TULS_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=586,TRUE,,Not set up for DwCA publishing.,Jbest doesn’t see the option to edit collection metadata and set up DwC,FALSE,FALSE,,
255,UARK,,,AR,FALSE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=255,https://sernecportal.org/portal/content/dwca/UARK_DwC-A.zip,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=255,TRUE,,,,,,,
509,UHCC,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=509,https://portal.torcherbaria.org/portal/content/dwca/UHCC_DwC-A.zip,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=509,TRUE,,Not set up for DwCA publishing.,,FALSE,FALSE,,
354,UTEP,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=354,,FALSE,,FALSE,,FALSE,https://ipt.vertnet.org/archive.do?r=utep_herb,IPT URL in Symbiota may be incorrect. Lacking HTTPS:// and adds port 8080 not responding,,,,,
548,UTPB,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=548,https://portal.torcherbaria.org/portal/content/dwca/UTPB_DwC-A.zip,TRUE,FALSE,FALSE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=548,FALSE,,One sample record as placeholder,,FALSE,FALSE,,
264,VDB,,BRIT,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=264,https://sernecportal.org/portal/content/dwca/BRIT-VDB_DwC-A.zip ,TRUE,,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=264,TRUE,,,,,,,
,WOH,,,,TRUE,,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,,
568,WTS,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=568,https://portal.torcherbaria.org/portal/content/dwca/WTS_DwC-A.zip ,TRUE,FALSE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=568,TRUE,,Not set up for DwCA publishing.,Jbest doesn’t see the option to edit collection metadata and set up DwC,FALSE,FALSE,,
281,WWF,,,TX,TRUE,https://portal.torcherbaria.org/portal/collections/misc/collprofiles.php?collid=281,https://portal.torcherbaria.org/portal/content/dwca/WWF_DwC-A.zip ,FALSE,TRUE,TRUE,https://portal.torcherbaria.org/portal/webservices/dwc/dwcapubhandler.php?collid=281,TRUE,,One sample record as placeholder,,,,,
